customer_id,customer_name,customer_type,occupation,annual_income,account_type,risk_score
CUST008,Maria Garcia,Retail,Salaried,71999.99697,Current,5
CUST009,Robert Taylor,Retail,Business,179999.9851,Business,18
CUST010,Jennifer Lee,Retail,Student,5999.997753,Savings,7
CUST011,William Brown,Retail,Retired,37999.99653,Savings,9
CUST012,Patricia Davis,Retail,Salaried,104999.9922,Current,4
CUST013,Christopher Moore,Retail,Self-employed,88000.00878,Business,11
CUST014,Linda Johnson,Retail,Housewife,25000.00371,Savings,6
CUST015,Daniel White,Retail,Salaried,95000.02271,Current,5
CUST016,Karen Martinez,Retail,Student,7500.003562,Savings,8
CUST017,Matthew Harris,Retail,Business,220000.0022,Business,20
CUST018,Nancy Clark,Retail,Retired,51999.99727,Savings,7
CUST019,Paul Lewis,Retail,Salaried,114999.992,Current,4
CUST020,Betty Walker,Retail,Self-employed,78000.00031,Business,10
CUST001,John Mitchell,Retail,Student,7999.999548,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,125000.0012,Current,3
CUST003,Michael Chen,Retail,Self-employed,95000.00111,Business,12
CUST004,Emily Rodriguez,Retail,Retired,44999.98109,Savings,8
CUST005,David Kumar,Retail,Student,4999.98898,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,84999.997,Current,6
CUST007,James Wilson,Retail,Self-employed,150000.0064,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.0113,Current,5
CUST009,Robert Taylor,Retail,Business,179999.9949,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.004881,Savings,7
CUST011,William Brown,Retail,Retired,37999.98689,Savings,9
CUST012,Patricia Davis,Retail,Salaried,104999.991,Current,4
CUST013,Christopher Moore,Retail,Self-employed,88000.00116,Business,11
CUST014,Linda Johnson,Retail,Housewife,24999.98269,Savings,6
CUST015,Daniel White,Retail,Salaried,94999.99452,Current,5
CUST016,Karen Martinez,Retail,Student,7499.999146,Savings,8
CUST017,Matthew Harris,Retail,Business,220000.0162,Business,20
CUST018,Nancy Clark,Retail,Retired,51999.99502,Savings,7
CUST019,Paul Lewis,Retail,Salaried,114999.995,Current,4
CUST020,Betty Walker,Retail,Self-employed,78000.01081,Business,10
CUST001,John Mitchell,Retail,Student,8000.011169,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,124999.9993,Current,3
CUST003,Michael Chen,Retail,Self-employed,95000.01647,Business,12
CUST004,Emily Rodriguez,Retail,Retired,45000.00008,Savings,8
CUST005,David Kumar,Retail,Student,4999.99497,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,84999.9982,Current,6
CUST007,James Wilson,Retail,Self-employed,149999.9936,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.00103,Current,5
CUST009,Robert Taylor,Retail,Business,179999.9917,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.006372,Savings,7
CUST011,William Brown,Retail,Retired,37999.99108,Savings,9
CUST012,Patricia Davis,Retail,Salaried,104999.9968,Current,4
CUST013,Christopher Moore,Retail,Self-employed,87999.99879,Business,11
CUST014,Linda Johnson,Retail,Housewife,24999.99731,Savings,6
CUST015,Daniel White,Retail,Salaried,94999.99769,Current,5
CUST016,Karen Martinez,Retail,Student,7499.996389,Savings,8
CUST017,Matthew Harris,Retail,Business,220000.0024,Business,20
CUST018,Nancy Clark,Retail,Retired,52000.00866,Savings,7
CUST019,Paul Lewis,Retail,Salaried,114999.9981,Current,4
CUST020,Betty Walker,Retail,Self-employed,78000.00579,Business,10
CUST001,John Mitchell,Retail,Student,8000.000372,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,125000.0019,Current,3
CUST003,Michael Chen,Retail,Self-employed,95000.01501,Business,12
CUST004,Emily Rodriguez,Retail,Retired,44999.99713,Savings,8
CUST005,David Kumar,Retail,Student,5000.007067,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,84999.99161,Current,6
CUST007,James Wilson,Retail,Self-employed,149999.9845,Business,15
CUST008,Maria Garcia,Retail,Salaried,71999.9718,Current,5
CUST009,Robert Taylor,Retail,Business,179999.9948,Business,18
CUST010,Jennifer Lee,Retail,Student,5999.991764,Savings,7
CUST011,William Brown,Retail,Retired,38000.00257,Savings,9
CUST012,Patricia Davis,Retail,Salaried,105000.0057,Current,4
CUST013,Christopher Moore,Retail,Self-employed,88000.00038,Business,11
CUST014,Linda Johnson,Retail,Housewife,25000.00923,Savings,6
CUST015,Daniel White,Retail,Salaried,94999.99524,Current,5
CUST016,Karen Martinez,Retail,Student,7500.008652,Savings,8
CUST017,Matthew Harris,Retail,Business,220000.0106,Business,20
CUST018,Nancy Clark,Retail,Retired,51999.99465,Savings,7
CUST019,Paul Lewis,Retail,Salaried,115000.0066,Current,4
CUST020,Betty Walker,Retail,Self-employed,78000.00379,Business,10
CUST001,John Mitchell,Retail,Student,8000.010865,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,125000.0025,Current,3
CUST003,Michael Chen,Retail,Self-employed,94999.99704,Business,12
CUST004,Emily Rodriguez,Retail,Retired,45000.01022,Savings,8
CUST005,David Kumar,Retail,Student,5000.004154,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,84999.99935,Current,6
CUST007,James Wilson,Retail,Self-employed,149999.9989,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.00881,Current,5
CUST009,Robert Taylor,Retail,Business,179999.9982,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.005614,Savings,7
CUST011,William Brown,Retail,Retired,38000.00958,Savings,9
CUST012,Patricia Davis,Retail,Salaried,104999.9933,Current,4
CUST013,Christopher Moore,Retail,Self-employed,88000.00509,Business,11
CUST014,Linda Johnson,Retail,Housewife,25000.00516,Savings,6
CUST015,Daniel White,Retail,Salaried,95000.01322,Current,5
CUST016,Karen Martinez,Retail,Student,7500.000063,Savings,8
CUST017,Matthew Harris,Retail,Business,220000.0015,Business,20
CUST018,Nancy Clark,Retail,Retired,52000.00296,Savings,7
CUST019,Paul Lewis,Retail,Salaried,115000.0186,Current,4
CUST020,Betty Walker,Retail,Self-employed,78000.00643,Business,10
CUST001,John Mitchell,Retail,Student,7999.996612,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,124999.9859,Current,3
CUST003,Michael Chen,Retail,Self-employed,95000.00235,Business,12
CUST004,Emily Rodriguez,Retail,Retired,44999.98995,Savings,8
CUST005,David Kumar,Retail,Student,4999.995968,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,85000.0032,Current,6
CUST007,James Wilson,Retail,Self-employed,149999.9894,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.0135,Current,5
CUST009,Robert Taylor,Retail,Business,180000.0059,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.002558,Savings,7
CUST011,William Brown,Retail,Retired,37999.99795,Savings,9
CUST012,Patricia Davis,Retail,Salaried,104999.9908,Current,4
CUST013,Christopher Moore,Retail,Self-employed,87999.98961,Business,11
CUST014,Linda Johnson,Retail,Housewife,25000.0135,Savings,6
CUST015,Daniel White,Retail,Salaried,95000.0196,Current,5
CUST016,Karen Martinez,Retail,Student,7500.003784,Savings,8
CUST017,Matthew Harris,Retail,Business,220000.001,Business,20
CUST018,Nancy Clark,Retail,Retired,51999.99483,Savings,7
CUST019,Paul Lewis,Retail,Salaried,114999.991,Current,4
CUST020,Betty Walker,Retail,Self-employed,77999.99818,Business,10
CUST001,John Mitchell,Retail,Student,7999.973683,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,124999.9879,Current,3
CUST003,Michael Chen,Retail,Self-employed,95000.00006,Business,12
CUST004,Emily Rodriguez,Retail,Retired,44999.98209,Savings,8
CUST005,David Kumar,Retail,Student,5000.000799,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,85000.00673,Current,6
CUST007,James Wilson,Retail,Self-employed,149999.9849,Business,15
CUST008,Maria Garcia,Retail,Salaried,71999.992,Current,5
CUST009,Robert Taylor,Retail,Business,180000.0091,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.007798,Savings,7
CUST011,William Brown,Retail,Retired,37999.996,Savings,9
CUST012,Patricia Davis,Retail,Salaried,104999.9889,Current,4
CUST013,Christopher Moore,Retail,Self-employed,88000.00094,Business,11
CUST014,Linda Johnson,Retail,Housewife,24999.98976,Savings,6
CUST015,Daniel White,Retail,Salaried,94999.99391,Current,5
CUST016,Karen Martinez,Retail,Student,7500.010348,Savings,8
CUST017,Matthew Harris,Retail,Business,219999.9934,Business,20
CUST018,Nancy Clark,Retail,Retired,52000.0031,Savings,7
CUST019,Paul Lewis,Retail,Salaried,114999.991,Current,4
CUST020,Betty Walker,Retail,Self-employed,77999.98771,Business,10
CUST001,John Mitchell,Retail,Student,7999.997972,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,125000.0119,Current,3
CUST003,Michael Chen,Retail,Self-employed,95000.00805,Business,12
CUST004,Emily Rodriguez,Retail,Retired,44999.98429,Savings,8
CUST005,David Kumar,Retail,Student,5000.003449,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,85000.01013,Current,6
CUST007,James Wilson,Retail,Self-employed,150000.0097,Business,15
CUST008,Maria Garcia,Retail,Salaried,71999.99342,Current,5
CUST009,Robert Taylor,Retail,Business,179999.9941,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.00483,Savings,7
CUST011,William Brown,Retail,Retired,38000.00366,Savings,9
CUST012,Patricia Davis,Retail,Salaried,105000.0045,Current,4
CUST013,Christopher Moore,Retail,Self-employed,88000.01209,Business,11
CUST014,Linda Johnson,Retail,Housewife,24999.98495,Savings,6
CUST015,Daniel White,Retail,Salaried,94999.98072,Current,5
CUST016,Karen Martinez,Retail,Student,7499.995141,Savings,8
CUST017,Matthew Harris,Retail,Business,220000.0141,Business,20
CUST018,Nancy Clark,Retail,Retired,52000.00406,Savings,7
CUST019,Paul Lewis,Retail,Salaried,115000.0084,Current,4
CUST020,Betty Walker,Retail,Self-employed,78000.01555,Business,10
CUST001,John Mitchell,Retail,Student,7999.988068,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,125000.004,Current,3
CUST003,Michael Chen,Retail,Self-employed,95000.00895,Business,12
CUST004,Emily Rodriguez,Retail,Retired,44999.99932,Savings,8
CUST005,David Kumar,Retail,Student,5000.002548,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,85000.00184,Current,6
CUST007,James Wilson,Retail,Self-employed,149999.9978,Business,15
CUST008,Maria Garcia,Retail,Salaried,71999.99533,Current,5
CUST009,Robert Taylor,Retail,Business,180000.0156,Business,18
CUST010,Jennifer Lee,Retail,Student,5999.99448,Savings,7
CUST011,William Brown,Retail,Retired,37999.98616,Savings,9
CUST012,Patricia Davis,Retail,Salaried,105000.008,Current,4
CUST013,Christopher Moore,Retail,Self-employed,88000.00392,Business,11
CUST014,Linda Johnson,Retail,Housewife,25000.00929,Savings,6
CUST015,Daniel White,Retail,Salaried,95000.00729,Current,5
CUST016,Karen Martinez,Retail,Student,7500.008663,Savings,8
CUST017,Matthew Harris,Retail,Business,220000.0091,Business,20
CUST018,Nancy Clark,Retail,Retired,52000.02162,Savings,7
CUST019,Paul Lewis,Retail,Salaried,114999.9978,Current,4
CUST020,Betty Walker,Retail,Self-employed,78000.00601,Business,10
CUST001,John Mitchell,Retail,Student,7999.951241,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,124999.9826,Current,3
CUST003,Michael Chen,Retail,Self-employed,95000.00356,Business,12
CUST004,Emily Rodriguez,Retail,Retired,45000.01854,Savings,8
CUST005,David Kumar,Retail,Student,4999.987504,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,84999.986,Current,6
CUST007,James Wilson,Retail,Self-employed,149999.9914,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.01825,Current,5
CUST009,Robert Taylor,Retail,Business,179999.9956,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.011035,Savings,7
CUST011,William Brown,Retail,Retired,38000.01222,Savings,9
CUST012,Patricia Davis,Retail,Salaried,105000.0027,Current,4
CUST013,Christopher Moore,Retail,Self-employed,87999.97679,Business,11
CUST014,Linda Johnson,Retail,Housewife,25000.00708,Savings,6
CUST015,Daniel White,Retail,Salaried,95000.00921,Current,5
CUST016,Karen Martinez,Retail,Student,7500.001614,Savings,8
CUST017,Matthew Harris,Retail,Business,220000.0027,Business,20
CUST018,Nancy Clark,Retail,Retired,52000.00251,Savings,7
CUST019,Paul Lewis,Retail,Salaried,115000.0005,Current,4
CUST020,Betty Walker,Retail,Self-employed,78000.00373,Business,10
CUST001,John Mitchell,Retail,Student,8000.003418,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,124999.9887,Current,3
CUST003,Michael Chen,Retail,Self-employed,95000.00348,Business,12
CUST004,Emily Rodriguez,Retail,Retired,44999.99825,Savings,8
CUST005,David Kumar,Retail,Student,4999.994597,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,85000.00137,Current,6
CUST007,James Wilson,Retail,Self-employed,150000.0007,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.00981,Current,5
CUST009,Robert Taylor,Retail,Business,179999.9973,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.006537,Savings,7
CUST011,William Brown,Retail,Retired,37999.99687,Savings,9
CUST012,Patricia Davis,Retail,Salaried,105000.0113,Current,4
CUST013,Christopher Moore,Retail,Self-employed,87999.99983,Business,11
CUST014,Linda Johnson,Retail,Housewife,24999.98523,Savings,6
CUST015,Daniel White,Retail,Salaried,94999.98297,Current,5
CUST016,Karen Martinez,Retail,Student,7500.008913,Savings,8
CUST017,Matthew Harris,Retail,Business,219999.9959,Business,20
CUST018,Nancy Clark,Retail,Retired,52000.00241,Savings,7
CUST019,Paul Lewis,Retail,Salaried,114999.9971,Current,4
CUST020,Betty Walker,Retail,Self-employed,77999.99519,Business,10
CUST001,John Mitchell,Retail,Student,8000.002862,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,124999.9863,Current,3
CUST003,Michael Chen,Retail,Self-employed,94999.99259,Business,12
CUST004,Emily Rodriguez,Retail,Retired,44999.99243,Savings,8
CUST005,David Kumar,Retail,Student,4999.983536,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,85000.00583,Current,6
CUST007,James Wilson,Retail,Self-employed,149999.999,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.01323,Current,5
CUST009,Robert Taylor,Retail,Business,180000.0181,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.001078,Savings,7
CUST011,William Brown,Retail,Retired,37999.99419,Savings,9
CUST012,Patricia Davis,Retail,Salaried,104999.9907,Current,4
CUST013,Christopher Moore,Retail,Self-employed,88000.01412,Business,11
CUST014,Linda Johnson,Retail,Housewife,24999.98303,Savings,6
CUST015,Daniel White,Retail,Salaried,95000.00729,Current,5
CUST016,Karen Martinez,Retail,Student,7499.991357,Savings,8
CUST017,Matthew Harris,Retail,Business,219999.9909,Business,20
CUST018,Nancy Clark,Retail,Retired,52000.01614,Savings,7
CUST019,Paul Lewis,Retail,Salaried,115000.011,Current,4
CUST020,Betty Walker,Retail,Self-employed,77999.99859,Business,10
CUST001,John Mitchell,Retail,Student,7999.993281,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,125000.0007,Current,3
CUST003,Michael Chen,Retail,Self-employed,95000.00544,Business,12
CUST004,Emily Rodriguez,Retail,Retired,44999.9971,Savings,8
CUST005,David Kumar,Retail,Student,5000.012112,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,84999.98674,Current,6
CUST007,James Wilson,Retail,Self-employed,150000.0055,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.01063,Current,5
CUST009,Robert Taylor,Retail,Business,179999.9882,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.012385,Savings,7
CUST011,William Brown,Retail,Retired,38000.01607,Savings,9
CUST012,Patricia Davis,Retail,Salaried,104999.984,Current,4
CUST013,Christopher Moore,Retail,Self-employed,87999.99503,Business,11
CUST014,Linda Johnson,Retail,Housewife,24999.99667,Savings,6
CUST015,Daniel White,Retail,Salaried,94999.99479,Current,5
CUST016,Karen Martinez,Retail,Student,7499.998697,Savings,8
CUST017,Matthew Harris,Retail,Business,219999.9923,Business,20
CUST018,Nancy Clark,Retail,Retired,51999.98869,Savings,7
CUST019,Paul Lewis,Retail,Salaried,114999.9996,Current,4
CUST020,Betty Walker,Retail,Self-employed,77999.98907,Business,10
CUST001,John Mitchell,Retail,Student,7999.99226,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,124999.9921,Current,3
CUST003,Michael Chen,Retail,Self-employed,94999.99124,Business,12
CUST004,Emily Rodriguez,Retail,Retired,44999.99461,Savings,8
CUST005,David Kumar,Retail,Student,4999.998048,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,84999.992,Current,6
CUST007,James Wilson,Retail,Self-employed,150000.0017,Business,15
CUST008,Maria Garcia,Retail,Salaried,71999.97466,Current,5
CUST009,Robert Taylor,Retail,Business,180000.0003,Business,18
CUST010,Jennifer Lee,Retail,Student,5999.989775,Savings,7
CUST011,William Brown,Retail,Retired,38000.01199,Savings,9
CUST012,Patricia Davis,Retail,Salaried,105000.0168,Current,4
CUST013,Christopher Moore,Retail,Self-employed,87999.99297,Business,11
CUST014,Linda Johnson,Retail,Housewife,24999.99568,Savings,6
CUST015,Daniel White,Retail,Salaried,94999.99141,Current,5
CUST016,Karen Martinez,Retail,Student,7500.004641,Savings,8
CUST017,Matthew Harris,Retail,Business,220000.0036,Business,20
CUST018,Nancy Clark,Retail,Retired,52000.00773,Savings,7
CUST019,Paul Lewis,Retail,Salaried,115000.0089,Current,4
CUST020,Betty Walker,Retail,Self-employed,78000.00151,Business,10
CUST001,John Mitchell,Retail,Student,8000.00665,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,124999.9945,Current,3
CUST003,Michael Chen,Retail,Self-employed,94999.98776,Business,12
CUST004,Emily Rodriguez,Retail,Retired,45000.00063,Savings,8
CUST005,David Kumar,Retail,Student,5000.009756,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,85000.00801,Current,6
CUST007,James Wilson,Retail,Self-employed,149999.9992,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.00022,Current,5
CUST009,Robert Taylor,Retail,Business,180000.0157,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.001431,Savings,7
CUST011,William Brown,Retail,Retired,38000.00319,Savings,9
CUST012,Patricia Davis,Retail,Salaried,104999.9986,Current,4
CUST013,Christopher Moore,Retail,Self-employed,88000.00396,Business,11
CUST014,Linda Johnson,Retail,Housewife,24999.98969,Savings,6
CUST015,Daniel White,Retail,Salaried,95000.008,Current,5
CUST016,Karen Martinez,Retail,Student,7500.003468,Savings,8
CUST017,Matthew Harris,Retail,Business,220000.0041,Business,20
CUST018,Nancy Clark,Retail,Retired,52000.00967,Savings,7
CUST019,Paul Lewis,Retail,Salaried,114999.9939,Current,4
CUST020,Betty Walker,Retail,Self-employed,77999.99926,Business,10
CUST001,John Mitchell,Retail,Student,8000.00419,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,124999.9997,Current,3
CUST003,Michael Chen,Retail,Self-employed,94999.99922,Business,12
CUST004,Emily Rodriguez,Retail,Retired,45000.00278,Savings,8
CUST005,David Kumar,Retail,Student,4999.993631,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,85000.00761,Current,6
CUST007,James Wilson,Retail,Self-employed,149999.9888,Business,15
CUST008,Maria Garcia,Retail,Salaried,71999.99452,Current,5
CUST009,Robert Taylor,Retail,Business,180000.0093,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.007403,Savings,7
CUST011,William Brown,Retail,Retired,37999.99863,Savings,9
CUST012,Patricia Davis,Retail,Salaried,104999.9962,Current,4
CUST013,Christopher Moore,Retail,Self-employed,88000.00883,Business,11
CUST014,Linda Johnson,Retail,Housewife,25000.00691,Savings,6
CUST015,Daniel White,Retail,Salaried,95000.00225,Current,5
CUST016,Karen Martinez,Retail,Student,7499.991355,Savings,8
CUST017,Matthew Harris,Retail,Business,220000.0091,Business,20
CUST018,Nancy Clark,Retail,Retired,51999.99192,Savings,7
CUST019,Paul Lewis,Retail,Salaried,115000.0061,Current,4
CUST020,Betty Walker,Retail,Self-employed,78000.01838,Business,10
CUST001,John Mitchell,Retail,Student,8000.02175,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,125000.0111,Current,3
CUST003,Michael Chen,Retail,Self-employed,94999.98808,Business,12
CUST004,Emily Rodriguez,Retail,Retired,44999.99556,Savings,8
CUST005,David Kumar,Retail,Student,5000.019199,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,85000.00183,Current,6
CUST007,James Wilson,Retail,Self-employed,150000.0132,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.01253,Current,5
CUST009,Robert Taylor,Retail,Business,179999.9921,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.015864,Savings,7
CUST011,William Brown,Retail,Retired,38000.00555,Savings,9
CUST012,Patricia Davis,Retail,Salaried,105000.0185,Current,4
CUST013,Christopher Moore,Retail,Self-employed,87999.99874,Business,11
CUST014,Linda Johnson,Retail,Housewife,25000.00757,Savings,6
CUST015,Daniel White,Retail,Salaried,95000.00818,Current,5
CUST016,Karen Martinez,Retail,Student,7500.016309,Savings,8
CUST017,Matthew Harris,Retail,Business,219999.9992,Business,20
CUST018,Nancy Clark,Retail,Retired,52000.00102,Savings,7
CUST019,Paul Lewis,Retail,Salaried,115000.0004,Current,4
CUST020,Betty Walker,Retail,Self-employed,77999.98913,Business,10
CUST001,John Mitchell,Retail,Student,8000.009012,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,125000.008,Current,3
CUST003,Michael Chen,Retail,Self-employed,95000.00161,Business,12
CUST004,Emily Rodriguez,Retail,Retired,45000.01278,Savings,8
CUST005,David Kumar,Retail,Student,5000.031076,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,84999.98621,Current,6
CUST007,James Wilson,Retail,Self-employed,150000.0006,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.03143,Current,5
CUST009,Robert Taylor,Retail,Business,180000.0098,Business,18
CUST010,Jennifer Lee,Retail,Student,5999.977483,Savings,7
CUST011,William Brown,Retail,Retired,37999.99415,Savings,9
CUST012,Patricia Davis,Retail,Salaried,105000.0084,Current,4
CUST013,Christopher Moore,Retail,Self-employed,87999.98364,Business,11
CUST014,Linda Johnson,Retail,Housewife,24999.99399,Savings,6
CUST015,Daniel White,Retail,Salaried,94999.98879,Current,5
CUST016,Karen Martinez,Retail,Student,7499.999657,Savings,8
CUST017,Matthew Harris,Retail,Business,220000.0121,Business,20
CUST018,Nancy Clark,Retail,Retired,52000.00739,Savings,7
CUST019,Paul Lewis,Retail,Salaried,114999.9954,Current,4
CUST020,Betty Walker,Retail,Self-employed,77999.9917,Business,10
CUST001,John Mitchell,Retail,Student,7999.999725,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,125000.0091,Current,3
CUST003,Michael Chen,Retail,Self-employed,95000.00191,Business,12
CUST004,Emily Rodriguez,Retail,Retired,45000.00963,Savings,8
CUST005,David Kumar,Retail,Student,5000.006964,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,84999.9854,Current,6
CUST007,James Wilson,Retail,Self-employed,150000.0016,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.00056,Current,5
CUST009,Robert Taylor,Retail,Business,180000.0188,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.01787,Savings,7
CUST011,William Brown,Retail,Retired,37999.99688,Savings,9
CUST012,Patricia Davis,Retail,Salaried,104999.9904,Current,4
CUST013,Christopher Moore,Retail,Self-employed,88000.00103,Business,11
CUST014,Linda Johnson,Retail,Housewife,24999.99827,Savings,6
CUST015,Daniel White,Retail,Salaried,95000.0094,Current,5
CUST016,Karen Martinez,Retail,Student,7499.987951,Savings,8
CUST017,Matthew Harris,Retail,Business,219999.9911,Business,20
CUST018,Nancy Clark,Retail,Retired,51999.97884,Savings,7
CUST019,Paul Lewis,Retail,Salaried,114999.9923,Current,4
CUST020,Betty Walker,Retail,Self-employed,77999.98641,Business,10
CUST001,John Mitchell,Retail,Student,7999.999405,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,125000.01,Current,3
CUST003,Michael Chen,Retail,Self-employed,94999.99168,Business,12
CUST004,Emily Rodriguez,Retail,Retired,45000.00471,Savings,8
CUST005,David Kumar,Retail,Student,5000.000917,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,84999.99279,Current,6
CUST007,James Wilson,Retail,Self-employed,150000.0057,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.00682,Current,5
CUST009,Robert Taylor,Retail,Business,180000.001,Business,18
